        | 67,000        |
| 아임2030 강서구등촌동648-5       | 15A         | 15.17            | 청년     | 4                | B             | 34,516           | 6,903            | 27,613           | 111,000       |
|                                  | 30.07       | 30.07            | 청년     | 2                | A             | 62,330           | 12,466           | 49,864           | 203,000       |
|                                  | 30.07       | 30.07            | 청년     | 2                | B             | 103,883          | 20,777           | 83,106           | 338,000       |
|                                  | 30.81       | 30.81            |          | 1                | A             | 64,010           | 12,802           | 51,208           | 208,000       |
|                                  | 30.81       | 30.81            |          | 1                | B             | 106,683          | 21,337           | 85,346           | 346,000       |
| 보눔하우스화곡 강서구화곡동401-1 | 16          | 16.90            | 청년     | 1                | A             | 18,740           | 3,748            | 14,992           | 61,000        |
| 보눔하우스화곡 강서구화곡동401-1 | 16          | 16.90            | 청년     | 1                | B             | 31,233           | 6,247            | 24,986           | 101,000       |
| 칼튼테라스 중랑구묵동176-39      | 16          | 16.81            | 청년     | 4                | A             | 27,810           | 5,562            | 22,248           | 95,000        |
| 칼튼테라스 중랑구묵동176-39      | 16          | 16.81            | 청년     | 4                | B             | 46,350           | 9,270            | 37,080           | 158,000       |
|                                  | 19          | 19.70            | 청년     | 3                | A             | 25,400           | 5,080            | 20,320           | 87,000        |
|                                  | 19          | 19.70            | 청년     | 3                | B             | 42,333           | 8,467            | 33
